_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20140701_231000_20140701_233000"	0.965278	0.49589	0	1	0	0	0	0	0	0	0	0.372727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154583
_D:	"N120_20140701_233000_20140701_235000"	0.979167	0.49589	0	1	0	0	0	0	0	0	0	0.393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182339
_D:	"N120_20140701_235000_20140702_001000"	0.993056	0.49589	0	1	0	0	0	0	0	0	0	0.378788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392672
_D:	"N120_20140702_001000_20140702_003000"	0.00694444	0.49863	0	0	1	0	0	0	0	0	0	0.381818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529505
_D:	"N120_20140702_003000_20140702_005000"	0.0208333	0.49863	0	0	1	0	0	0	0	0	0	0.369697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299156
_D:	"N120_20140702_005000_20140702_011000"	0.0347222	0.49863	0	0	1	0	0	0	0	0	0	0.378788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274005
_D:	"N120_20140702_011000_20140702_013000"	0.0486111	0.49863	0	0	1	0	0	0	0	0	0	0.390909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119536
_D:	"N120_20140702_013000_20140702_015000"	0.0625	0.49863	0	0	1	0	0	0	0	0	0	0.372727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117099
_D:	"N120_20140702_015000_20140702_021000"	0.0763889	0.49863	0	0	1	0	0	0	0	0	0	0.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126661
_D:	"N120_20140702_023000_20140702_025000"	0.104167	0.49863	0	0	1	0	0	0	0	0	0	0.357576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225677
_D:	"N120_20140702_025000_20140702_031000"	0.118056	0.49863	0	0	1	0	0	0	0	0	0	0.354545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126563
_D:	"N120_20140702_031000_20140702_033000"	0.131944	0.49863	0	0	1	0	0	0	0	0	0	0.345455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186458
_D:	"N120_20140702_033000_20140702_035000"	0.145833	0.49863	0	0	1	0	0	0	0	0	0	0.369697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208125
_D:	"N120_20140702_035000_20140702_041000"	0.159722	0.49863	0	0	1	0	0	0	0	0	0	0.378788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00844792
_D:	"N120_20140702_041000_20140702_043000"	0.173611	0.49863	0	0	1	0	0	0	0	0	0	0.384848	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214583
