_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20141013_080000_20141013_082000"	0.333333	0.780822	1	0	0	0	0	0	0	0	0	0.412121	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_073000_20141013_075000"	0.3125	0.780822	1	0	0	0	0	0	0	0	0	0.442424	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_070000_20141013_072000"	0.291667	0.780822	1	0	0	0	0	0	0	0	0	0.442424	0	0	0	0	0	1	0	0	0	0	0	0	0	0.186406
_D:	"N120_20141013_063000_20141013_065000"	0.270833	0.780822	1	0	0	0	0	0	0	0	0	0.442424	0	0	0	0	0	1	0	0	0	0	0	0	0	0.261859
_D:	"N120_20141013_060000_20141013_062000"	0.25	0.780822	1	0	0	0	0	0	0	0	0	0.472727	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0133437
_D:	"N120_20141013_053000_20141013_055000"	0.229167	0.780822	1	0	0	0	0	0	0	0	0	0.50303	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_050000_20141013_052000"	0.208333	0.780822	1	0	0	0	0	0	0	0	0	0.50303	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_043000_20141013_045000"	0.1875	0.780822	1	0	0	0	0	0	0	0	0	0.533333	0	0	0	0	0	1	0	0	0	0	0	0	0	0
_D:	"N120_20141013_040000_20141013_042000"	0.166667	0.780822	1	0	0	0	0	0	0	0	0	0.533333	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0296429
_D:	"N120_20141013_033000_20141013_035000"	0.145833	0.780822	1	0	0	0	0	0	0	0	0	0.563636	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0686835
_D:	"N120_20141013_030000_20141013_032000"	0.125	0.780822	1	0	0	0	0	0	0	0	0	0.533333	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0335469
_D:	"N120_20141013_023000_20141013_025000"	0.104167	0.780822	1	0	0	0	0	0	0	0	0	0.563636	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_020000_20141013_022000"	0.0833333	0.780822	1	0	0	0	0	0	0	0	0	0.563636	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_013000_20141013_015000"	0.0625	0.780822	1	0	0	0	0	0	0	0	0	0.533333	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141013_010000_20141013_012000"	0.0416667	0.780822	1	0	0	0	0	0	0	0	0	0.563636	0	0	1	0	0	0	0	0	0	0	0	0	0	0.177946
_D:	"N120_20141013_003000_20141013_005000"	0.0208333	0.780822	1	0	0	0	0	0	0	0	0	0.533333	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0271094
_D:	"N120_20141013_000000_20141013_002000"	0	0.780822	1	0	0	0	0	0	0	0	0	0.533333	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0304844
_D:	"N120_20141012_233000_20141012_235000"	0.979167	0.778082	0	0	0	0	0	0	1	0	0	0.533333	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_223000_20141012_225000"	0.9375	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0
_D:	"N120_20141012_220000_20141012_222000"	0.916667	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0192857
_D:	"N120_20141012_213000_20141012_215000"	0.895833	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0239375
_D:	"N120_20141012_210000_20141012_212000"	0.875	0.778082	0	0	0	0	0	0	1	0	0	0.50303	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0605156
_D:	"N120_20141012_203000_20141012_205000"	0.854167	0.778082	0	0	0	0	0	0	1	0	0	0.472727	0	0	1	0	0	0	0	0	0	0	0	0	0	0
