_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20141016_233000_20141016_235000"	0.979167	0.789041	0	0	0	1	0	0	0	0	0	0.624242	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0214375
_D:	"N120_20141016_223000_20141016_225000"	0.9375	0.789041	0	0	0	1	0	0	0	0	0	0.593939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194063
_D:	"N120_20141016_220000_20141016_222000"	0.916667	0.789041	0	0	0	1	0	0	0	0	0	0.593939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264562
_D:	"N120_20141016_213000_20141016_215000"	0.895833	0.789041	0	0	0	1	0	0	0	0	0	0.563636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325
_D:	"N120_20141016_210000_20141016_212000"	0.875	0.789041	0	0	0	1	0	0	0	0	0	0.533333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0341875
_D:	"N120_20141016_203000_20141016_205000"	0.854167	0.789041	0	0	0	1	0	0	0	0	0	0.533333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018875
_D:	"N120_20141016_200000_20141016_202000"	0.833333	0.789041	0	0	0	1	0	0	0	0	0	0.50303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332
_D:	"N120_20141016_193000_20141016_195000"	0.8125	0.789041	0	0	0	1	0	0	0	0	0	0.50303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336969
_D:	"N120_20141016_190000_20141016_192000"	0.791667	0.789041	0	0	0	1	0	0	0	0	0	0.50303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126219
_D:	"N120_20141016_183000_20141016_185000"	0.770833	0.789041	0	0	0	1	0	0	0	0	0	0.472727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249688
_D:	"N120_20141016_180000_20141016_182000"	0.75	0.789041	0	0	0	1	0	0	0	0	0	0.472727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112562
_D:	"N120_20141016_173000_20141016_175000"	0.729167	0.789041	0	0	0	1	0	0	0	0	0	0.442424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185625
_D:	"N120_20141016_170000_20141016_172000"	0.708333	0.789041	0	0	0	1	0	0	0	0	0	0.442424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175
_D:	"N120_20141016_163000_20141016_165000"	0.6875	0.789041	0	0	0	1	0	0	0	0	0	0.442424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156875
_D:	"N120_20141016_160000_20141016_162000"	0.666667	0.789041	0	0	0	1	0	0	0	0	0	0.412121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146563
_D:	"N120_20141016_153000_20141016_155000"	0.645833	0.789041	0	0	0	1	0	0	0	0	0	0.412121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127813
_D:	"N120_20141016_150000_20141016_152000"	0.625	0.789041	0	0	0	1	0	0	0	0	0	0.412121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119063
