_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N133_20140701_131000_20140701_133000"	0.548611	0.49589	0	1	0	0	0	0	0	0	0	0.448485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_133000_20140701_135000"	0.5625	0.49589	0	1	0	0	0	0	0	0	0	0.445455	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_135000_20140701_141000"	0.576389	0.49589	0	1	0	0	0	0	0	0	0	0.445455	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_141000_20140701_143000"	0.590278	0.49589	0	1	0	0	0	0	0	0	0	0.445455	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_143000_20140701_145000"	0.604167	0.49589	0	1	0	0	0	0	0	0	0	0.469697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_145000_20140701_151000"	0.618056	0.49589	0	1	0	0	0	0	0	0	0	0.466667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_151000_20140701_153000"	0.631944	0.49589	0	1	0	0	0	0	0	0	0	0.484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_155000_20140701_161000"	0.659722	0.49589	0	1	0	0	0	0	0	0	0	0.493939	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_161000_20140701_163000"	0.673611	0.49589	0	1	0	0	0	0	0	0	0	0.463636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_163000_20140701_165000"	0.6875	0.49589	0	1	0	0	0	0	0	0	0	0.40303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_165000_20140701_171000"	0.701389	0.49589	0	1	0	0	0	0	0	0	0	0.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	"N133_20140701_171000_20140701_173000"	0.715278	0.49589	0	1	0	0	0	0	0	0	0	0.384848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
